version                 name                    version_id              code_name                               life            release         support         long_term       rhel            kerne                       note                        wallpaper                                                                               create_flag sort_flag   
rockylinux-8.10         Rocky%20Linux           8.10                    Green%20Obsidian                        -               2024-05-30      -               -               2024-05-22      4.18.0-553                  -                           -                                                                                       -           0           
rockylinux-9.0          Rocky%20Linux           9.0                     -                                       EOL             2022-07-14      -               -               2022-05-17      5.14.0-70.13.1              -                           -                                                                                       -           0           
rockylinux-9.1          Rocky%20Linux           9.1                     -                                       EOL             2022-11-26      -               -               2022-11-15      5.14.0-162.6.1              -                           -                                                                                       -           0           
rockylinux-9.2          Rocky%20Linux           9.2                     -                                       EOL             2023-05-16      -               -               2023-05-10      5.14.0-284.11.1             -                           -                                                                                       -           0           
rockylinux-9.3          Rocky%20Linux           9.3                     -                                       EOL             2023-11-20      -               -               2023-11-07      5.14.0-362.8.1              -                           -                                                                                       -           0           
rockylinux-9.4          Rocky%20Linux           9.4                     -                                       EOL             2024-05-09      -               -               2024-04-30      5.14.0-427.13.1             -                           -                                                                                       -           0           
rockylinux-9.5          Rocky%20Linux           9.5                     Blue%20Onyx                             EOL             2024-11-19      -               -               2024-11-12      5.14.0-503.14.1             -                           -                                                                                       -           0           
rockylinux-9.6          Rocky%20Linux           9.6                     Blue%20Onyx                             EOL             2025-06-04      -               -               2025-05-20      5.14.0-570.17.1             -                           -                                                                                       -           0           
rockylinux-9.7          Rocky%20Linux           9.7                     Blue%20Onyx                             EOL             2025-12-01      -               -               2025-11-11      5.14.0-611.9.1              -                           -                                                                                       -           0           
rockylinux-9.8          Rocky%20Linux           9.8                     Blue%20Onyx                             -               2026-05-27      -               -               2026-05-19      5.14.0-687.10.1             -                           -                                                                                       -           0           
rockylinux-10.0         Rocky%20Linux           10.0                    Red%20Quartz                            EOL             2025-06-11      -               -               2025-05-20      6.12.0-55.12.1              -                           -                                                                                       -           0           
rockylinux-10.1         Rocky%20Linux           10.1                    Red%20Quartz                            EOL             2025-11-25      -               -               2025-11-11      6.12.0-124.8.1              -                           -                                                                                       -           0           
rockylinux-10.2         Rocky%20Linux           10.2                    Red%20Quartz                            -               2026-05-28      -               -               2026-05-19      6.12.0-211.16.1             -                           -                                                                                       -           0           
miraclelinux-8.4        Miracle%20Linux         8.4                     -                                       EOL             2021-10-04      -               -               2021-05-18      4.18.0-305.el8              -                           -                                                                                       -           0           
miraclelinux-8.6        Miracle%20Linux         8.6                     -                                       EOL             2022-11-01      -               -               2022-05-10      4.18.0-372.el8              -                           -                                                                                       -           0           
miraclelinux-8.8        Miracle%20Linux         8.8                     -                                       EOL             2023-10-05      -               -               2023-05-16      4.18.0-477.el8              -                           -                                                                                       -           0           
miraclelinux-8.10       Miracle%20Linux         8.10                    Peony                                   -               2024-10-17      -               -               2024-05-22      4.18.0-553.el8_10           -                           -                                                                                       -           0           
miraclelinux-9.0        Miracle%20Linux         9.0                     -                                       EOL             2022-11-01      -               -               2022-05-17      5.14.0-70.el9               -                           -                                                                                       -           0           
miraclelinux-9.2        Miracle%20Linux         9.2                     -                                       EOL             2023-10-05      -               -               2023-05-10      5.14.0-284.el9              -                           -                                                                                       -           0           
miraclelinux-9.4        Miracle%20Linux         9.4                     Feige                                   EOL             2024-09-02      -               -               2024-04-30      5.14.0-427.13.1.el9_4       -                           -                                                                                       -           0           
miraclelinux-9.6        Miracle%20Linux         9.6                     Feige                                   -               2025-07-14      -               -               2025-xx-xx      5.14.0-570.16.1.el9_6       -                           -                                                                                       -           0           
opensuse-leap-15.0      openSUSE                15.0                    -                                       EOL             2018-05-25      2019-12-03      -               -               4.12                        -                           -                                                                                       -           0           
opensuse-leap-15.1      openSUSE                15.1                    -                                       EOL             2019-05-22      2021-01-31      -               -               4.12                        -                           -                                                                                       -           0           
opensuse-leap-15.2      openSUSE                15.2                    -                                       EOL             2020-07-02      2021-12-31      -               -               5.3.18                      -                           -                                                                                       -           0           
opensuse-leap-15.3      openSUSE                15.3                    -                                       EOL             2021-06-02      2022-12-31      -               -               5.3.18                      -                           -                                                                                       -           0           
opensuse-leap-15.4      openSUSE                15.4                    -                                       EOL             2022-06-08      2023-12-31      -               -               5.14.21                     -                           -                                                                                       -           0           
opensuse-leap-15.5      openSUSE                15.5                    -                                       EOL             2023-06-07      2024-12-31      -               -               5.14.21                     -                           -                                                                                       -           0           
opensuse-leap-15.6      openSUSE                15.6                    -                                       EOL             2024-06-12      2026-04-30      -               -               6.4                         -                           -                                                                                       -           0           
opensuse-leap-16.0      openSUSE                16.0                    -                                       -               2025-10-01      2027-10-31      -               -               6.12                        -                           -                                                                                       -           0           
